date,SWWlog10cpd,SPR
2020-07-06,12.7062,0.2432
2020-07-13,12.6392,0.2189
2020-07-20,12.5072,0.1965
2020-07-27,12.5311,0.1752
2020-08-03,12.3743,0.1513
2020-08-10,12.2388,0.1286
2020-08-17,12.359,0.1161
2020-08-24,12.4098,0.0983
2020-08-31,12.3946,0.0786
2020-09-07,12.3027,0.0601
2020-09-14,12.3325,0.055
2020-09-21,12.3265,0.0416
2020-09-28,12.47,0.0499
2020-10-05,12.5122,0.0537
2020-10-12,12.5874,0.0497
2020-10-19,12.5317,0.0684
2020-10-26,12.4985,0.0726
2020-11-02,12.5524,0.0766
2020-11-09,12.5567,0.0767
2020-11-16,12.6746,0.0901
2020-11-23,12.8144,0.0898
2020-11-30,12.9825,0.0875
2020-12-07,13.1214,0.1019
2020-12-14,13.2774,0.1087
2020-12-21,13.3606,0.1259
2020-12-28,13.3265,0.126
2021-01-04,13.3812,0.145
2021-01-11,13.3319,0.1505
2021-01-18,13.0585,0.15310000000000001
2021-01-25,12.8924,0.1443
2021-02-01,12.927,0.1325
2021-02-08,12.7948,0.1175
2021-02-15,12.7085,0.1072
2021-02-22,12.9072,0.0908
2021-03-01,12.8867,0.0847
2021-03-08,12.9226,0.0769
2021-03-15,12.7527,0.073
2021-03-22,12.7392,0.07
2021-03-29,12.7431,0.0652
2021-04-05,12.6304,0.0712
2021-04-12,12.5172,0.0658
2021-04-19,12.5614,0.066
2021-04-26,12.5513,0.0671
2021-05-03,12.4855,0.0652
2021-05-10,12.3824,0.0513
2021-05-17,12.4274,0.0381
2021-05-24,12.3835,0.0256
2021-05-31,12.3283,0.0086
2021-06-07,12.4176,0.0104
2021-06-14,12.4397,0.0125
2021-06-21,12.6449,0.0266
2021-06-28,12.7198,0.0452
2021-07-05,12.9181,0.0759
2021-07-12,13.0608,0.1016
2021-07-19,13.2664,0.123
2021-07-26,13.2454,0.1431
2021-08-02,13.4056,0.1499
2021-08-09,13.2907,0.1545
2021-08-16,13.3274,0.1419
2021-08-23,13.2903,0.1392
2021-08-30,13.2496,0.109
2021-09-06,13.1726,0.1147
2021-09-13,13.2639,0.1152
2021-09-20,13.177,0.1045
2021-09-27,13.1238,0.1026
2021-10-04,13.0556,0.0932
2021-10-11,12.985,0.0748
2021-10-18,12.9135,0.0513
2021-10-25,12.6196,0.0386
2021-11-01,12.5305,0.0019
2021-11-08,12.5233,0
2021-11-15,12.3708,0
2021-11-22,12.5657,0.0192
2021-11-29,12.9053,0.0706
2021-12-06,12.9904,0.1255
2021-12-13,13.1894,0.1894
2021-12-20,13.5355,0.2492
2021-12-27,13.6521,0.2867
2022-01-03,13.8581,0.2988
2022-01-10,13.78,0.2706
2022-01-17,13.7514,0.2463
2022-01-24,13.5767,0.1989
2022-01-31,13.2881,0.148
2022-02-07,13.0237,0.0962
2022-02-14,12.6588,0.0716
2022-02-21,12.5226,0.0525
2022-02-28,12.1612,0.0364
2022-03-07,12.0949,0.0273
2022-03-14,12.2238,0.0167
2022-03-21,12.4121,0.0181
2022-03-28,12.5258,0.0162
2022-04-04,12.5912,0.0267
2022-04-11,12.6165,0.0424
2022-04-18,12.7925,0.0534
2022-04-25,12.8591,0.0683
2022-05-02,13.0132,0.1107
2022-05-09,13.0756,0.1315
2022-05-16,13.0637,0.1584
2022-05-23,13.0481,0.1938
2022-05-30,13.2546,0.2147
2022-06-06,13.1201,0.249
2022-06-13,13.2809,0.2742
2022-06-20,13.3631,0.289
2022-06-27,13.561,0.2943
2022-07-04,13.5521,0.2968
2022-07-11,13.6856,0.2983
2022-07-18,13.6911,0.2983
2022-07-25,13.7728,0.2889
2022-08-01,13.5324,0.2736
2022-08-08,13.6937,0.2444
2022-08-15,13.563,0.2251
2022-08-22,13.3192,0.2089
2022-08-29,13.0713,0.1916
2022-09-05,13.0951,0.1567
2022-09-12,12.8562,0.1405
2022-09-19,12.8687,0.1093
2022-09-26,12.7646,0.0831
2022-10-03,12.6151,0.0807
2022-10-10,12.5653,0.0651
2022-10-17,12.6894,0.0448
2022-10-24,12.6362,0.0526
2022-10-31,12.7255,0.049
2022-11-07,12.7956,0.0696
2022-11-14,12.9569,0.0818
2022-11-21,13.127,0.1071
2022-11-28,13.2579,0.1296
2022-12-05,13.4395,0.1504
2022-12-12,13.5625,0.1652
2022-12-19,13.6608,0.1733
2022-12-26,13.635,0.1751
2023-01-02,13.6446,0.1782
2023-01-09,13.6576,0.1696
2023-01-16,13.6822,0.164
2023-01-23,13.455,0.1482
2023-01-30,13.4019,0.1303
2023-02-06,13.2996,0.1273
2023-02-13,13.1995,0.1206
2023-02-20,13.2163,0.1039
2023-02-27,13.235900000000001,0.0874
2023-03-06,13.1327,0.0907
2023-03-13,13.0684,0.0834
2023-03-20,13.1623,0.0726
2023-03-27,13.0153,0.0747
2023-04-03,12.9745,0.0683
2023-04-10,12.7828,0.0691
2023-04-17,12.7377,0.0649
2023-04-24,12.6144,0.0609
2023-05-01,12.579,0.0521
2023-05-08,12.733,0.0431
2023-05-15,12.6745,0.0445
2023-05-22,12.7924,0.0437
2023-05-29,12.7472,0.0463
2023-06-05,12.6437,0.0452
2023-06-12,12.6999,0.0418
2023-06-19,12.6136,0.061
2023-06-26,12.8442,0.0665
2023-07-03,12.8488,0.1021
2023-07-10,12.8403,0.127
2023-07-17,12.9883,0.1605
2023-07-24,13.0375,0.1787
2023-07-31,13.1505,0.2084
2023-08-07,13.1304,0.2309
2023-08-14,13.2362,0.249
2023-08-21,13.2704,0.2543
2023-08-28,13.2402,0.2622
